index,cluster
0,11
1,7
2,2
3,0
4,3
5,1
6,0
7,6
8,11
9,8
10,1
11,0
12,1
13,1
14,11
15,0
16,8
17,10
18,5
19,0
20,11
21,9
22,8
23,4
24,1
25,0
26,6
27,6
28,11
29,4
30,1
31,10
32,5
33,0
34,0
35,9
36,9
37,1
38,10
39,12
40,2
41,4
42,6
43,4
44,2
45,7
46,1
47,1
48,6
49,2
50,5
51,9
52,9
53,11
54,4
55,8
56,4
57,1
58,1
59,1
60,5
61,2
62,12
63,6
64,5
65,5
66,9
67,6
68,6
69,9
70,12
71,1
72,5
73,5
74,12
75,8
76,7
77,1
78,12
79,1
80,5
81,12
82,2
83,10
84,3
85,10
86,9
87,3
88,6
89,10
90,9
91,12
92,3
93,11
94,12
95,8
96,4
97,3
98,5
99,7
100,12
101,9
102,11
103,12
104,0
105,8
106,3
107,9
108,3
109,3
110,11
111,2
112,11
113,3
114,12
115,9
116,10
117,11
118,4
119,11
120,3
121,1
122,11
123,12
124,11
125,0
126,12
127,11
128,11
129,12
130,11
131,0
132,12
133,2
134,9
135,1
136,9
137,7
138,10
139,12
140,1
141,7
142,10
143,9
144,12
145,12
146,0
147,6
148,6
149,9
150,7
151,7
152,2
153,1
154,1
155,3
156,4
157,4
158,5
159,9
160,8
161,12
162,4
163,2
164,12
165,2
166,3
167,1
168,12
169,4
170,11
171,6
172,3
173,1
174,1
175,8
176,1
177,10
178,9
179,9
180,5
181,6
182,9
183,12
184,3
185,1
186,12
187,3
188,3
189,10
190,10
191,5
192,9
193,7
194,12
195,12
196,10
197,5
198,8
199,12
200,0
201,5
202,7
203,8
204,11
205,5
206,9
207,2
208,9
209,3
210,10
211,12
212,6
213,1
214,9
215,4
216,1
217,7
218,3
219,1
220,11
221,11
222,0
223,2
224,1
225,11
226,9
227,9
228,0
229,11
230,3
231,12
232,1
233,12
234,7
235,9
236,5
237,3
238,1
239,11
240,10
241,5
242,4
243,4
244,2
245,4
246,1
247,6
248,4
249,7
250,11
251,4
252,9
253,9
254,8
255,7
256,0
257,10
258,2
259,0
260,5
261,6
262,9
263,7
264,4
265,4
266,4
267,0
268,11
269,11
270,1
271,5
272,9
273,2
274,0
275,11
276,0
277,0
278,4
279,4
280,4
281,3
282,3
283,0
284,9
285,8
286,12
287,3
288,8
289,12
290,0
291,11
292,5
293,1
294,7
295,4
296,3
297,8
298,3
299,12
300,12
301,9
302,9
303,12
304,5
305,0
306,7
307,9
308,11
309,12
310,1
311,9
312,11
313,2
314,9
315,5
316,11
317,12
318,9
319,0
320,3
321,1
322,11
323,9
324,3
325,2
326,7
327,12
328,11
329,6
330,0
331,8
332,3
333,5
334,6
335,5
336,11
337,2
338,5
339,1
340,12
341,2
342,9
343,12
344,2
345,1
346,12
347,1
348,9
349,12
350,0
351,12
352,3
353,12
354,12
355,12
356,11
357,3
358,2
359,0
360,7
361,10
362,12
363,10
364,6
365,1
366,12
367,10
368,10
369,1
370,1
371,5
372,2
373,8
374,7
375,4
376,7
377,4
378,12
379,11
380,6
381,11
382,12
383,11
384,1
385,4
386,10
387,10
388,3
389,10
390,7
391,11
392,9
393,5
394,3
395,9
396,10
397,12
398,10
399,11
400,9
401,9
402,12
403,7
404,7
405,9
406,0
407,5
408,7
409,11
410,10
411,7
412,5
413,11
414,9
415,12
416,9
417,11
418,9
419,10
420,0
421,10
422,0
423,0
424,9
425,7
426,12
427,1
428,4
429,11
430,9
431,0
432,8
433,10
434,8
435,0
436,2
437,11
438,11
439,7
440,10
441,5
442,9
443,11
444,1
445,12
446,12
447,9
448,12
449,8
450,12
451,6
452,11
453,2
454,10
455,9
456,1
457,6
458,12
459,9
460,11
461,12
462,5
463,8
464,12
465,4
466,1
467,7
468,5
469,4
470,4
471,10
472,10
473,9
474,6
475,8
476,10
477,12
478,0
479,10
480,4
481,3
482,2
483,10
484,10
485,9
486,4
487,12
488,8
489,6
490,0
491,0
492,4
493,8
494,8
495,11
496,0
497,7
498,6
499,7
500,6
501,6
502,4
503,7
504,6
505,7
506,6
507,4
508,8
509,9
510,12
511,9
512,8
513,7
514,7
515,4
516,7
517,4
518,7
519,11
520,5
521,10
522,6
523,6
524,0
525,7
526,4
527,9
528,12
529,10
530,6
531,9
532,9
533,8
534,8
535,7
536,3
537,10
538,9
539,3
540,8
541,7
542,7
543,3
544,2
545,3
546,6
547,9
548,10
549,6
550,12
551,9
552,9
553,2
554,4
555,5
556,11
557,6
558,4
559,11
560,6
561,8
562,1
563,6
564,8
565,6
566,7
567,6
568,3
569,0
570,6
571,5
572,2
573,2
574,1
575,8
576,6
577,8
578,7
579,11
580,7
581,6
582,8
583,2
584,11
585,7
586,8
587,12
588,7
589,0
590,3
591,2
592,4
593,8
594,8
595,7
596,7
597,12
598,5
599,2
600,8
601,6
602,8
603,5
604,4
605,3
606,9
607,1
608,10
609,5
610,9
611,10
612,12
613,1
614,11
615,6
616,11
617,9
618,11
619,9
620,6
621,6
622,2
623,2
624,12
625,2
626,9
627,9
628,2
629,4
630,11
631,12
632,5
633,8
634,8
635,12
636,7
637,2
638,12
639,9
640,7
641,7
642,8
643,5
644,9
645,2
646,9
647,7
648,10
649,2
650,4
651,2
652,6
653,4
654,9
655,12
656,6
657,7
658,7
659,7
660,7
661,11
662,8
663,2
664,2
665,11
666,8
667,8
668,7
669,2
670,12
671,10
672,9
673,7
674,6
675,9
676,4
677,9
678,4
679,12
680,4
681,9
682,6
683,7
684,12
685,0
686,1
687,6
688,1
689,3
690,6
691,11
692,3
693,6
694,0
695,4
696,10
697,4
698,1
699,11
700,3
701,12
702,6
703,6
704,7
705,12
706,9
707,5
708,12
709,4
710,5
711,11
712,9
713,1
714,3
715,12
716,11
717,12
718,0
719,8
720,6
721,9
722,0
723,2
724,7
725,4
726,0
727,6
728,4
729,4
730,2
731,6
732,4
733,6
734,6
735,7
736,11
737,8
738,7
739,11
740,4
741,9
742,0
743,4
744,8
745,2
746,4
747,9
748,9
749,8
750,9
751,8
752,8
753,4
754,4
755,8
756,8
757,9
758,4
759,4
760,0
761,11
762,9
763,7
764,12
765,9
766,7
767,8
768,9
769,4
770,7
771,2
772,5
773,2
774,8
775,8
776,8
777,12
778,7
779,9
780,9
781,8
782,6
783,6
784,4
785,7
786,0
787,4
788,6
789,8
790,9
791,6
792,11
793,7
794,1
795,7
796,4
797,4
798,12
799,7
800,11
801,0
802,12
803,12
804,7
805,9
806,12
807,4
808,4
809,4
810,11
811,6
812,6
813,4
814,10
815,6
816,7
817,7
818,7
819,7
820,6
821,4
822,10
823,2
824,6
825,11
826,7
827,6
828,4
829,4
830,1
831,0
832,1
833,0
834,11
835,9
836,5
837,11
838,1
839,2
840,9
841,2
842,12
843,6
844,4
845,9
846,5
847,9
848,4
849,11
850,11
851,8
852,9
853,9
854,10
855,9
856,7
857,3
858,4
859,9
860,4
861,9
862,6
863,9
864,4
865,6
866,0
867,7
868,11
869,11
870,9
871,6
872,3
873,11
874,0
875,7
876,4
877,2
878,6
879,0
880,12
881,8
882,12
883,4
884,5
885,3
886,11
887,4
888,4
889,10
890,12
891,6
892,3
893,5
894,4
895,1
896,4
897,8
898,2
899,12
900,12
901,3
902,3
903,12
904,11
905,5
906,5
907,12
908,10
909,12
910,7
911,6
912,1
913,6
914,5
915,9
916,8
917,4
918,11
919,10
920,10
921,8
922,2
923,0
924,3
925,8
926,12
927,2
928,5
929,12
930,3
931,11
932,12
933,1
934,2
935,4
936,8
937,10
938,9
939,7
940,4
941,7
942,10
943,4
944,0
945,3
946,5
947,7
948,11
949,1
950,8
951,8
952,7
953,3
954,5
955,8
956,6
957,10
958,7
959,11
960,2
961,7
962,5
963,1
964,9
965,1
966,8
967,3
968,3
969,2
970,2
971,7
972,0
973,0
974,9
975,3
976,12
977,6
978,5
979,7
980,10
981,10
982,10
983,2
984,10
985,9
986,7
987,8
988,9
989,8
990,1
991,4
992,11
993,4
994,8
995,4
996,10
997,5
998,7
999,7
1000,10
1001,9
1002,3
1003,4
1004,10
1005,5
1006,6
1007,6
1008,4
1009,6
1010,7
1011,3
1012,4
1013,8
1014,7
1015,11
1016,4
1017,8
1018,7
1019,4
1020,7
1021,7
1022,8
1023,4
1024,8
1025,9
1026,4
1027,4
1028,4
1029,7
1030,2
1031,8
1032,5
1033,10
1034,11
1035,7
1036,11
1037,7
1038,6
1039,7
1040,10
1041,4
1042,4
1043,7
1044,7
1045,8
1046,7
1047,9
1048,10
1049,4
1050,0
1051,10
1052,9
1053,8
1054,5
1055,9
1056,7
1057,1
1058,9
1059,7
1060,12
1061,1
1062,7
1063,9
1064,12
1065,1
1066,1
1067,5
1068,5
1069,12
1070,0
1071,7
1072,10
1073,9
1074,9
1075,1
1076,0
1077,5
1078,12
1079,6
1080,10
1081,3
1082,10
1083,9
1084,8
1085,2
1086,3
1087,5
1088,2
1089,0
1090,12
1091,1
1092,6
1093,1
1094,6
1095,9
1096,10
1097,4
1098,4
1099,10
1100,4
1101,2
1102,8
1103,4
1104,5
1105,7
1106,7
1107,10
1108,8
1109,4
1110,9
1111,1
1112,3
1113,7
1114,2
1115,12
1116,3
1117,4
1118,9
1119,9
1120,7
1121,10
1122,9
1123,11
1124,11
1125,8
1126,3
1127,3
1128,9
1129,0
1130,1
1131,9
1132,2
1133,4
1134,6
1135,10
1136,4
1137,6
1138,8
1139,10
1140,8
1141,7
1142,7
1143,4
1144,0
1145,11
1146,2
1147,11
1148,11
1149,0
1150,0
1151,6
1152,4
1153,7
1154,3
1155,6
1156,2
1157,7
1158,2
1159,5
1160,7
1161,7
1162,4
1163,2
1164,10
1165,7
1166,6
1167,8
1168,1
1169,2
1170,12
1171,6
1172,9
1173,9
1174,2
1175,2
1176,3
1177,0
1178,6
1179,7
1180,12
1181,11
1182,6
1183,2
1184,7
1185,2
1186,0
1187,10
1188,9
1189,2
1190,3
1191,9
1192,10
1193,0
1194,5
1195,12
1196,6
1197,12
1198,12
1199,6
1200,9
1201,10
1202,12
1203,11
1204,1
1205,4
1206,6
1207,6
1208,7
1209,0
1210,11
1211,0
1212,4
1213,4
1214,6
1215,6
1216,2
1217,11
1218,10
1219,3
1220,5
1221,5
1222,1
1223,11
1224,4
1225,6
1226,7
1227,6
1228,11
1229,9
